germanic,latinate,register_germanic,register_latinate
use,utilise,neutral,formal
start,commence,neutral,formal
begin,initiate,neutral,formal
buy,purchase,neutral,formal
help,assist,informal,formal
need,require,neutral,formal
get,obtain,informal,formal
get,receive,informal,formal
tell,inform,informal,formal
ask,request,informal,formal
try,attempt,informal,formal
give,provide,neutral,formal
keep,maintain,neutral,formal
leave,depart,neutral,formal
put,place,neutral,formal
see,observe,neutral,formal
think,consider,neutral,formal
show,demonstrate,neutral,formal
build,construct,neutral,formal
end,terminate,neutral,formal
