target_word,total_count,overformal_count,overformal_ratio,mean_confidence,mean_confidence_overformal,top_register_label
utilise,4,4,1.0,3.0,3.0,neutral essay
depart,1,1,1.0,3.0,3.0,neutral essay
demonstrate,10,9,0.9,3.0,3.0,neutral essay
attempt,3,2,0.6666666666666666,3.0,3.0,neutral essay
obtain,27,18,0.6666666666666666,2.8518518518518516,3.0,neutral essay
inform,29,16,0.5517241379310345,2.8620689655172415,2.9375,neutral essay
assist,11,6,0.5454545454545454,2.8181818181818183,3.0,neutral essay
purchase,27,14,0.5185185185185185,2.7777777777777777,2.9285714285714284,neutral essay
receive,58,27,0.46551724137931033,2.9482758620689653,2.962962962962963,neutral essay
observe,11,5,0.45454545454545453,3.0,3.0,neutral essay
consider,136,61,0.4485294117647059,2.911764705882353,2.9672131147540983,neutral essay
construct,19,8,0.42105263157894735,2.8421052631578947,3.0,neutral essay
require,15,6,0.4,2.7333333333333334,2.8333333333333335,neutral essay
request,23,9,0.391304347826087,3.0,3.0,neutral essay
place,425,163,0.3835294117647059,2.823529411764706,2.9693251533742333,neutral essay
maintain,15,5,0.3333333333333333,3.0,3.0,neutral essay
provide,44,14,0.3181818181818182,2.8636363636363638,3.0,neutral essay
initiate,1,0,0.0,3.0,,neutral essay
